a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,m11,n12,o13,p14,q15,r16,s17,s18,t19,
130,mstr,6920105,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6978670,,,,,131,131,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
131,mstr,6978670,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7037235,,,,,132,132,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
132,mstr,7037235,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7095800,,,,,133,133,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
133,mstr,7095800,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7154365,,,,,134,134,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
134,mstr,7154365,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7212930,,,,,135,135,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
135,mstr,7212930,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7271495,,,,,136,136,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
136,mstr,7271495,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7330060,,,,,137,137,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
137,mstr,7330060,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7388625,,,,,138,138,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
138,mstr,7388625,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7447190,,,,,139,139,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
139,mstr,7447190,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7505755,,,,,140,140,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
140,mstr,7505755,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7564320,,,,,141,141,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
141,mstr,7564320,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7622885,,,,,142,142,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
142,mstr,7622885,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7681450,,,,,143,143,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
143,mstr,7681450,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7740015,,,,,144,144,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
144,mstr,7740015,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7798580,,,,,145,145,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
145,mstr,7798580,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7857145,,,,,146,146,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
146,mstr,7857145,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7915710,,,,,147,147,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
147,mstr,7915710,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7974275,,,,,148,148,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
148,mstr,7974275,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8032840,,,,,149,149,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
149,mstr,8032840,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8091405,,,,,150,150,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
150,mstr,8091405,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8149970,,,,,151,151,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
151,mstr,8149970,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8208535,,,,,152,152,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
152,mstr,8208535,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8267100,,,,,153,153,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
153,mstr,8267100,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8325665,,,,,154,154,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
154,mstr,8325665,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8384230,,,,,155,155,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
155,mstr,8384230,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8442795,,,,,156,156,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
156,mstr,8442795,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8501360,,,,,157,157,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
157,mstr,8501360,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8559925,,,,,158,158,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
158,mstr,8559925,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8618490,,,,,159,159,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
159,mstr,8618490,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8677055,,,,,160,160,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
160,mstr,8677055,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8735620,,,,,161,161,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
161,mstr,8735620,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8794185,,,,,162,162,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
162,mstr,8794185,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8852750,,,,,163,163,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
163,mstr,8852750,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8911315,,,,,164,164,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
164,mstr,8911315,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8969880,,,,,165,165,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
165,mstr,8969880,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9028445,,,,,166,166,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
166,mstr,9028445,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9087010,,,,,167,167,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
167,mstr,9087010,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9145575,,,,,168,168,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
168,mstr,9145575,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9204140,,,,,169,169,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
169,mstr,9204140,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9262705,,,,,170,170,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
170,mstr,9262705,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9321270,,,,,171,171,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
171,mstr,9321270,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9379835,,,,,172,172,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
172,mstr,9379835,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9438400,,,,,173,173,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
173,mstr,9438400,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9496965,,,,,174,174,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
174,mstr,9496965,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9555530,,,,,175,175,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
175,mstr,9555530,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9614095,,,,,176,176,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
176,mstr,9614095,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9672660,,,,,177,177,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
177,mstr,9672660,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9731225,,,,,178,178,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
178,mstr,9731225,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9789790,,,,,179,179,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
179,mstr,9789790,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9848355,,,,,180,180,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
180,mstr,9848355,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9906920,,,,,181,181,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
181,mstr,9906920,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9965485,,,,,182,182,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
182,mstr,9965485,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10024050,,,,,183,183,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
183,mstr,10024050,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10082615,,,,,184,184,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
184,mstr,10082615,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10141180,,,,,185,185,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
185,mstr,10141180,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10199745,,,,,186,186,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
186,mstr,10199745,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10258310,,,,,187,187,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
187,mstr,10258310,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10316875,,,,,188,188,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
188,mstr,10316875,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10375440,,,,,189,189,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
189,mstr,10375440,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10434005,,,,,190,190,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
190,mstr,10434005,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10492570,,,,,191,191,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
191,mstr,10492570,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10551135,,,,,192,192,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
192,mstr,10551135,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10609700,,,,,193,193,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
193,mstr,10609700,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10668265,,,,,194,194,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
194,mstr,10668265,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10726830,,,,,195,195,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
195,mstr,10726830,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10785395,,,,,196,196,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
196,mstr,10785395,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10843960,,,,,197,197,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
197,mstr,10843960,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10902525,,,,,198,198,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
198,mstr,10902525,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10961090,,,,,199,199,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
199,mstr,10961090,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11019655,,,,,200,200,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
200,mstr,11019655,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11078220,,,,,201,201,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
201,mstr,11078220,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11136785,,,,,202,202,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
202,mstr,11136785,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11195350,,,,,203,203,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
203,mstr,11195350,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11253915,,,,,204,204,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
204,mstr,11253915,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11312480,,,,,205,205,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
205,mstr,11312480,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11371045,,,,,206,206,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
206,mstr,11371045,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11429610,,,,,207,207,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
207,mstr,11429610,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11488175,,,,,208,208,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
208,mstr,11488175,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11546740,,,,,209,209,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
209,mstr,11546740,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11605305,,,,,210,210,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
210,mstr,11605305,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11663870,,,,,211,211,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
211,mstr,11663870,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11722435,,,,,212,212,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
212,mstr,11722435,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11781000,,,,,213,213,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
213,mstr,11781000,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11839565,,,,,214,214,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
214,mstr,11839565,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11898130,,,,,215,215,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
215,mstr,11898130,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11956695,,,,,216,216,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
216,mstr,11956695,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12015260,,,,,217,217,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
217,mstr,12015260,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12073825,,,,,218,218,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
218,mstr,12073825,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12132390,,,,,219,219,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
219,mstr,12132390,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12190955,,,,,220,220,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
220,mstr,12190955,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12249520,,,,,221,221,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
221,mstr,12249520,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12308085,,,,,222,222,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
222,mstr,12308085,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12366650,,,,,223,223,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
223,mstr,12366650,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12425215,,,,,224,224,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
224,mstr,12425215,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12483780,,,,,225,225,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
225,mstr,12483780,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12542345,,,,,226,226,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
226,mstr,12542345,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12600910,,,,,227,227,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
227,mstr,12600910,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12659475,,,,,228,228,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
228,mstr,12659475,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12718040,,,,,229,229,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
229,mstr,12718040,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12776605,,,,,230,230,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
230,mstr,12776605,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12835170,,,,,231,231,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
231,mstr,12835170,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12893735,,,,,232,232,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
232,mstr,12893735,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12952300,,,,,233,233,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
233,mstr,12952300,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13010865,,,,,234,234,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
234,mstr,13010865,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13069430,,,,,235,235,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
235,mstr,13069430,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13127995,,,,,236,236,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
236,mstr,13127995,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13186560,,,,,237,237,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
237,mstr,13186560,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13245125,,,,,238,238,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
238,mstr,13245125,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13303690,,,,,239,239,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
239,mstr,13303690,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13362255,,,,,240,240,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
240,mstr,13362255,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13420820,,,,,241,241,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
241,mstr,13420820,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13479385,,,,,242,242,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
242,mstr,13479385,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13537950,,,,,243,243,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
243,mstr,13537950,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13596515,,,,,244,244,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
244,mstr,13596515,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13655080,,,,,245,245,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
245,mstr,13655080,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13713645,,,,,246,246,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
246,mstr,13713645,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13772210,,,,,247,247,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
247,mstr,13772210,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13830775,,,,,248,248,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
248,mstr,13830775,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13889340,,,,,249,249,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
249,mstr,13889340,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13947905,,,,,250,250,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
250,mstr,13947905,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14006470,,,,,251,251,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
251,mstr,14006470,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14065035,,,,,252,252,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
252,mstr,14065035,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14123600,,,,,253,253,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
253,mstr,14123600,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14182165,,,,,254,254,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
254,mstr,14182165,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14240730,,,,,255,255,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
