a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,
206,specialty_class_commando_expert,DIVISIONS_CAC_DLC4_COMMANDO_EXPERT,division_training_commando_level2,DIVISIONS_CAC_DLC4_DESC_COMMANDO_EXPERT,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
207,specialty_class_commando_master,DIVISIONS_CAC_DLC4_COMMANDO_MASTER,division_training_commando_level3,DIVISIONS_CAC_DLC4_DESC_COMMANDO_MASTER,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
208,specialty_class_commando_grandmaster,DIVISIONS_CAC_DLC4_COMMANDO_MASTER,division_training_commando_level3,DIVISIONS_CAC_DLC4_DESC_COMMANDO_MASTER,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
217,specialty_class_hustle,DIVISIONS_CAC_HUSTLE,basic_training_hustle_band,DIVISIONS_CAC_DESC_HUSTLE,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
218,specialty_class_gunslinger,DIVISIONS_CAC_GUNSLINGER,basic_training_gunslinger_band,DIVISIONS_CAC_DESC_GUNSLINGER,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
219,specialty_class_energetic,DIVISIONS_CAC_ENERGETIC,basic_training_energetic_band,DIVISIONS_CAC_DESC_ENERGETIC,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
220,specialty_class_inconspicuous,DIVISIONS_CAC_INCONSPICUOUS,basic_training_inconspicuous_band,DIVISIONS_CAC_DESC_INCONSPICUOUS,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
221,specialty_class_scoped,DIVISIONS_CAC_SCOPED,basic_training_scoped_band,DIVISIONS_CAC_DESC_SCOPED,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
222,specialty_class_duelist,DIVISIONS_CAC_DUELIST,basic_training_duelist_band,DIVISIONS_CAC_DESC_DUELIST,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
223,specialty_class_rifleman,DIVISIONS_CAC_RIFLEMAN,basic_training_rifleman_band,DIVISIONS_CAC_DESC_RIFLEMAN,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
224,specialty_class_primed,DIVISIONS_CAC_PRIMED,basic_training_primed_band,DIVISIONS_CAC_DESC_PRIMED,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
225,specialty_class_forage,DIVISIONS_CAC_FORAGE,basic_training_forage_band,DIVISIONS_CAC_DESC_FORAGE,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
226,specialty_class_ordnance,DIVISIONS_CAC_ORDNANCE,basic_training_ordnance_band,DIVISIONS_CAC_DESC_ORDNANCE,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
227,specialty_class_serrated,DIVISIONS_CAC_SERRATED,basic_training_serrated_band,DIVISIONS_CAC_DESC_SERRATED,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
228,specialty_class_requisitions,DIVISIONS_CAC_REQUISITIONS,basic_training_requisitions_band,DIVISIONS_CAC_DESC_REQUISITIONS,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
229,specialty_class_concussed,DIVISIONS_CAC_CONCUSSED,basic_training_concussed_band,DIVISIONS_CAC_DESC_CONCUSSED,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
230,specialty_class_hunker,DIVISIONS_CAC_HUNKER,basic_training_hunker_band,DIVISIONS_CAC_DESC_HUNKER,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
231,specialty_class_launched,DIVISIONS_CAC_LAUNCHED,basic_training_launched_band,DIVISIONS_CAC_DESC_LAUNCHED,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
232,specialty_class_bang,DIVISIONS_CAC_BANG,basic_training_bang_band,DIVISIONS_CAC_DESC_BANG,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
233,specialty_class_undercover,DIVISIONS_CAC_UNDERCOVER,basic_training_undercover_band,DIVISIONS_CAC_DESC_UNDERCOVER,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
234,specialty_class_lookout,DIVISIONS_CAC_LOOKOUT,basic_training_lookout_band,DIVISIONS_CAC_DESC_LOOKOUT,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
235,specialty_class_instincts,DIVISIONS_CAC_INSTINCTS,basic_training_instincts_band,DIVISIONS_CAC_DESC_INSTINCTS,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
236,specialty_class_flanker,DIVISIONS_CAC_FLANKER,basic_training_flanker_band,DIVISIONS_CAC_DESC_FLANKER,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
238,specialty_class_espionage,DIVISIONS_CAC_ESPIONAGE,basic_training_espionage_band,DIVISIONS_CAC_DESC_ESPIONAGE,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
239,specialty_class_shifty,DIVISIONS_CAC_DLC1_SHIFTY,basic_training_shifty_band,DIVISIONS_CAC_DLC1_DESC_SHIFTY,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
240,specialty_class_saboteur,DIVISIONS_CAC_DLC1_SABOTEUR,basic_training_saboteur_band,DIVISIONS_CAC_DLC1_DESC_SABOTEUR,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
241,specialty_class_blitzkrieg,DIVISIONS_CAC_DLC2_BLITZKRIEG,basic_training_blitzkrieg_band,DIVISIONS_CAC_DLC2_DESC_BLITZKRIEG,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
242,specialty_class_clandestine,DIVISIONS_CAC_DLC2_CLANDESTINE,basic_training_clandestine_band,DIVISIONS_CAC_DLC2_DESC_CLANDESTINE,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
243,specialty_class_wanderlust,DIVISIONS_CAC_DLC3_WANDERLUST,basic_training_wanderlust_band,DIVISIONS_CAC_DLC3_DESC_WANDERLUST,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
244,specialty_class_escalation,DIVISIONS_CAC_DLC3_ESCALATION,basic_training_escalation_band,DIVISIONS_CAC_DLC3_DESC_ESCALATION,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
245,specialty_class_specialist,DIVISIONS_CAC_DLC3_SPECIALIST,basic_training_specialist_band,DIVISIONS_CAC_DLC3_DESC_SPECIALIST,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
246,specialty_class_remedy,DIVISIONS_CAC_DLC4_REMEDY,basic_training_remedy_band,DIVISIONS_CAC_DLC4_DESC_REMEDY,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
247,specialty_class_frenzy,DIVISIONS_CAC_DLC4_FRENZY,basic_training_frenzy_band,DIVISIONS_CAC_DLC4_DESC_FRENZY,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,,,
249,specialty_class_stopping_power,DIVISIONS_CAC_MTX4_STOPPING_POWER,basic_training_stopping_power_band,DIVISIONS_CAC_MTX4_DESC_STOPPING_POWER,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,1,,
250,specialty_class_juggernaut,DIVISIONS_CAC_MTX4_JUGGERNAUT,basic_training_juggernaut_band,DIVISIONS_CAC_MTX4_DESC_JUGGERNAUT,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,1,,
251,specialty_class_danger_close,DIVISIONS_CAC_MTX4_DANGER_CLOSE,basic_training_danger_close_band,DIVISIONS_CAC_MTX4_DESC_DANGER_CLOSE,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,1,,
252,specialty_class_one_man_army,DIVISIONS_CAC_MTX4_ONE_MAN_ARMY,basic_training_one_man_army_band,DIVISIONS_CAC_MTX4_DESC_ONE_MAN_ARMY,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,1,,
253,specialty_class_commando_pro,DIVISIONS_CAC_MTX4_COMMANDO_PRO,basic_training_commando_pro_band,DIVISIONS_CAC_MTX4_DESC_COMMANDO_PRO,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,1,,
254,specialty_class_last_stand,DIVISIONS_CAC_MTX4_LAST_STAND,basic_training_last_stand_band,DIVISIONS_CAC_MTX4_DESC_LAST_STAND,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,1,,
255,specialty_class_martyrdom,DIVISIONS_CAC_MTX4_MARTYRDOM,basic_training_martyrdom_band,DIVISIONS_CAC_MTX4_DESC_MARTYRDOM,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,,,1,,
perk0,0.3333,0.4941,0.6196,,,,,,,,,,,,
perk1,0.5255,0.5686,0.3804,,,,,,,,,,,,
perk2,0.6196,0.3373,0.3373,,,,,,,,,,,,
perk3,1,0.5,0,,,,,,,,,,,,
equipment,1,0.8,0.4,,,,,,,,,,,,
upgrade0,1,0.8,0.4,,,,,,,,,,,,
upgrade1,1,0.8,0.4,,,,,,,,,,,,
upgrade2,1,0.8,0.4,,,,,,,,,,,,
