a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,
210,AEC_DAILY,daily_ch_assault_headshots,AEC_DAILY_ASSAULT_HEADSHOTS_TITLE,AEC_DAILY_ASSAULT_HEADSHOTS_DESC,,AEC_MEDIUM,,10,AEC_UNIT_ASSAULT_HEADSHOT_KILLS,,,,,,,,,,,,
211,AEC_DAILY,daily_ch_sniper_headshots,AEC_DAILY_SNIPER_HEADSHOTS_TITLE,AEC_DAILY_SNIPER_HEADSHOTS_DESC,,AEC_MEDIUM,,10,AEC_UNIT_SNIPER_HEADSHOT_KILLS,,,,,,,,,,,,
212,AEC_DAILY,daily_ch_lmg_headshots,AEC_DAILY_LMG_HEADSHOTS_TITLE,AEC_DAILY_LMG_HEADSHOTS_DESC,,AEC_MEDIUM,,10,AEC_UNIT_LMG_HEADSHOT_KILLS,,,,,,,,,,,,
213,AEC_DAILY,daily_ch_destroy_scorestreaks,AEC_DAILY_KILL_SCORESTREAKS_TITLE,AEC_DAILY_KILL_SCORESTREAKS_DESC,,AEC_MEDIUM,,5,AEC_UNIT_SCORESTREAKS_DESTROYED,,,,,,,,,,,,
214,AEC_DAILY,daily_ch_play_of_the_game,AEC_DAILY_PLAY_OF_THE_GAME_TITLE,AEC_DAILY_PLAY_OF_THE_GAME_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
215,AEC_DAILY,daily_ch_tdm_first,AEC_DAILY_TDM_FIRST_TITLE,AEC_DAILY_TDM_FIRST_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
216,AEC_DAILY,daily_ch_tdm_kd,AEC_DAILY_TDM_KD_TITLE,AEC_DAILY_TDM_KD_DESC,,AEC_MEDIUM,,1,,,,,,,,,,,,,
217,AEC_DAILY,daily_ch_dom_first,AEC_DAILY_DOM_FIRST_TITLE,AEC_DAILY_DOM_FIRST_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
218,AEC_DAILY,daily_ch_dom_multikill,AEC_DAILY_DOM_MULTIKILL_TITLE,AEC_DAILY_DOM_MULTIKILL_DESC,,AEC_MEDIUM,,1,,,,,,,,,,,,,
219,AEC_DAILY,daily_ch_ffa_first,AEC_DAILY_FFA_FIRST_TITLE,AEC_DAILY_FFA_FIRST_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
220,AEC_DAILY,daily_ch_ffa_kd,AEC_DAILY_FFA_KD_TITLE,AEC_DAILY_FFA_KD_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
221,AEC_DAILY,daily_ch_ffa_killer,AEC_DAILY_FFA_KILLER_TITLE,AEC_DAILY_FFA_KILLER_DESC,,AEC_MEDIUM,,15,AEC_UNIT_KILLS,,,,,,,,,,,,
222,AEC_DAILY,daily_ch_kc_wins,AEC_DAILY_KC_WINS_TITLE,AEC_DAILY_KC_WINS_DESC,,AEC_EASY,,1,,,,,,,,,,,,,
223,AEC_DAILY,daily_ch_collect_ally_tags,AEC_DAILY_ALLY_DOGTAGS_TITLE,AEC_DAILY_ALLY_DOGTAGS_DESC,,AEC_EASY,,20,AEC_UNIT_KILLS_DENIED,,,,,,,,,,,,
224,AEC_DAILY,daily_ch_kc_spy,AEC_DAILY_KC_SPY_TITLE,AEC_DAILY_KC_SPY_DESC,,AEC_EASY,,1,,,,,,,,,,,,,
225,AEC_DAILY,daily_ch_ctf_wins,AEC_DAILY_CTF_WINS_TITLE,AEC_DAILY_CTF_WINS_DESC,,AEC_EASY,,1,,,,,,,,,,,,,
226,AEC_DAILY,daily_ch_ctf_caps,AEC_DAILY_CTF_CAPS_TITLE,AEC_DAILY_CTF_CAPS_DESC,,AEC_HARD,,2,,,,,,,,,,,,,
227,AEC_DAILY,daily_ch_ctf_recovers,AEC_DAILY_CTF_RECOVERS_TITLE,AEC_DAILY_CTF_RECOVERS_DESC,,AEC_EASY,,1,,,,,,,,,,,,,
228,AEC_DAILY,daily_ch_ctf_kill_carriers,AEC_DAILY_CTF_KILL_CARRIERS_TITLE,AEC_DAILY_CTF_KILL_CARRIERS_DESC,,AEC_EASY,,3,AEC_UNIT_FLAG_CARRIER_KILLS,,,,,,,,,,,,
229,AEC_DAILY,daily_ch_hp_wins,AEC_DAILY_HP_WINS_TITLE,AEC_DAILY_HP_WINS_DESC,,AEC_EASY,,1,,,,,,,,,,,,,
230,AEC_DAILY,daily_ch_hp_time,AEC_DAILY_HP_TIME_TITLE,AEC_DAILY_HP_TIME_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
231,AEC_DAILY,daily_ch_hp_kills_on_point,AEC_DAILY_HP_KILLS_ON_POINT_TITLE,AEC_DAILY_HP_KILLS_ON_POINT_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
232,AEC_DAILY,daily_ch_sd_wins,AEC_DAILY_SD_WINS_TITLE,AEC_DAILY_SD_WINS_DESC,,AEC_EASY,,1,,,,,,,,,,,,,
233,AEC_DAILY,daily_ch_sd_plants,AEC_DAILY_SD_PLANTS_TITLE,AEC_DAILY_SD_PLANTS_DESC,,AEC_EASY,,1,,,,,,,,,,,,,
234,AEC_DAILY,daily_ch_sd_survivor,AEC_DAILY_SD_SURVIVOR_TITLE,AEC_DAILY_SD_SURVIVOR_DESC,,AEC_HARD,,3,,,,,,,,,,,,,
235,AEC_DAILY,daily_ch_sd_killer,AEC_DAILY_SD_KILLER_TITLE,AEC_DAILY_SD_KILLER_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
236,AEC_DAILY,daily_ch_gridiron_wins,AEC_DAILY_GRIDIRON_WINS_TITLE,AEC_DAILY_GRIDIRON_WINS_DESC,,AEC_EASY,,1,,,,,,,,,,,,,
237,AEC_DAILY,daily_ch_gridiron_carrier_kill,AEC_DAILY_GRIDIRON_CARRIER_KILL_TITLE,AEC_DAILY_GRIDIRON_CARRIER_KILL_DESC,,AEC_EASY,,1,,,,,,,,,,,,,
238,AEC_DAILY,daily_ch_gridiron_ball_kill,AEC_DAILY_GRIDIRON_BALL_KILL_TITLE,AEC_DAILY_GRIDIRON_BALL_KILL_DESC,,AEC_EASY,,1,,,,,,,,,,,,,
239,AEC_DAILY,daily_ch_gridiron_touchdowns,AEC_DAILY_GRIDIRON_TOUCHDOWNS_TITLE,AEC_DAILY_GRIDIRON_TOUCHDOWNS_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
240,AEC_DAILY,daily_ch_war_wins,AEC_DAILY_WAR_WINS_TITLE,AEC_DAILY_WAR_WINS_DESC,,AEC_EASY,,1,,,,,,,,,,,,,
241,AEC_DAILY,daily_ch_war_build_turrets,AEC_DAILY_WAR_BUILD_TURRETS_TITLE,AEC_DAILY_WAR_BUILD_TURRETS_DESC,,AEC_EASY,,3,AEC_UNIT_MOUNTED_GUNS_BUILT,,,,,,,,,,,,
242,AEC_DAILY,daily_ch_war_construct,AEC_DAILY_WAR_WALLS_TITLE,AEC_DAILY_WAR_WALLS_DESC,,AEC_EASY,,3,AEC_UNIT_WAR_ITEMS_BUILT,,,,,,,,,,,,
243,AEC_DAILY,daily_ch_war_turret_kills,AEC_DAILY_WAR_TURRET_KILLS_TITLE,AEC_DAILY_WAR_TURRET_KILLS_DESC,,AEC_EASY,,10,AEC_UNIT_ENEMIES_KILLED_WAR_MOUNTED_GUNS,,,,,,,,,,,,
244,AEC_DAILY,daily_ch_war_tank_kills,AEC_DAILY_WAR_TANK_KILLS_TITLE,AEC_DAILY_WAR_TANK_KILLS_DESC,,AEC_EASY,,10,AEC_UNIT_ENEMIES_KILLED_WAR_TANK,,,,,,,,,,,,
245,AEC_DAILY,daily_ch_war_triple_grenade,AEC_DAILY_WAR_TRIPLE_GRENADE_TITLE,AEC_DAILY_WAR_TRIPLE_GRENADE_DESC,,AEC_MEDIUM,,3,AEC_UNIT_GRENADE_TRIPLE_KILLS_WAR,,,,,,,,,,,,
246,AEC_DAILY,daily_ch_hub_targets,AEC_DAILY_HUB_TARGETS_TITLE,AEC_DAILY_HUB_TARGETS_DESC,,AEC_EASY,,10,,,,,,,,,,,,,
247,AEC_WEEKLY,weekly_ch_infantry_kills,AEC_WEEKLY_INFANTRY_KILLS_TITLE,AEC_WEEKLY_INFANTRY_KILLS_DESC,,AEC_EASY,,200,,,,,,,,,,,,,
248,AEC_WEEKLY,weekly_ch_airborne_kills,AEC_WEEKLY_AIRBORNE_KILLS_TITLE,AEC_WEEKLY_AIRBORNE_KILLS_DESC,,AEC_EASY,,200,,,,,,,,,,,,,
249,AEC_WEEKLY,weekly_ch_armored_kills,AEC_WEEKLY_ARMORED_KILLS_TITLE,AEC_WEEKLY_ARMORED_KILLS_DESC,,AEC_EASY,,200,,,,,,,,,,,,,
250,AEC_WEEKLY,weekly_ch_mountain_kills,AEC_WEEKLY_MOUNTAIN_KILLS_TITLE,AEC_WEEKLY_MOUNTAIN_KILLS_DESC,,AEC_EASY,,200,,,,,,,,,,,,,
251,AEC_WEEKLY,weekly_ch_expeditionary_kills,AEC_WEEKLY_EXPEDITIONARY_KILLS_TITLE,AEC_WEEKLY_EXPEDITIONARY_KILLS_DESC,,AEC_EASY,,200,,,,,,,,,,,,,
252,AEC_DAILY,daily_ch_sniper_no_scope,AEC_DAILY_SNIPER_NO_SCOPE_TITLE,AEC_DAILY_SNIPER_NO_SCOPE_DESC,,AEC_MEDIUM,,1,,,,,,,,,,,,,
253,AEC_DAILY,daily_ch_sniper_360_no_scope,AEC_DAILY_SNIPER_360_NO_SCOPE_TITLE,AEC_DAILY_SNIPER_360_NO_SCOPE_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
254,AEC_DAILY,daily_ch_armored_skill,AEC_DAILY_ARMORED_SKILL_TITLE,AEC_DAILY_ARMORED_SKILL_DESC,,AEC_EASY,,10,AEC_UNIT_LMG_MOUNTED_KILLS,,,,,,,,,,,,
255,AEC_DAILY,daily_ch_sniper_skill,AEC_DAILY_SNIPER_SKILL_TITLE,AEC_DAILY_SNIPER_SKILL_DESC,,AEC_EASY,,10,AEC_UNIT_HOLD_BREATH_KILLS,,,,,,,,,,,,
256,AEC_DAILY,daily_ch_air_kills,AEC_DAILY_AIR_KILLS_TITLE,AEC_DAILY_AIR_KILLS_DESC,,AEC_MEDIUM,,3,AEC_UNIT_AIR_KILLS,,,,,,,,,,,,
257,AEC_DAILY,daily_ch_melee_behind,AEC_DAILY_MELEE_BEHIND_TITLE,AEC_DAILY_MELEE_BEHIND_DESC,,AEC_MEDIUM,,5,AEC_UNIT_MELEE_FROM_BEHIND,,,,,,,,,,,,
258,AEC_DAILY,daily_ch_near_death_kills,AEC_DAILY_NEAR_DEATH_KILLS_TITLE,AEC_DAILY_NEAR_DEATH_KILLS_DESC,,AEC_HARD,,10,AEC_UNIT_NEAR_DEATH_KILLS,,,,,,,,,,,,
259,AEC_DAILY,daily_ch_pick_up_kills,AEC_DAILY_PICK_UP_KILLS_TITLE,AEC_DAILY_PICK_UP_KILLS_DESC,,AEC_HARD,,10,AEC_UNIT_PICKUP_KILLS,,,,,,,,,,,,
260,AEC_WEEKLY,weekly_ch_rank_up,AEC_WEEKLY_RANK_UP_TITLE,AEC_WEEKLY_RANK_UP_DESC,,AEC_EASY,,10,AEC_UNIT_RANK_UP,,,,,,,,,,,,
261,AEC_WEEKLY,weekly_ch_marathon,AEC_WEEKLY_MARATHON_TITLE,AEC_WEEKLY_MARATHON_DESC,,AEC_MEDIUM,,26,AEC_UNIT_MILES_RAN,,,,,,,,,,,,
262,AEC_WEEKLY,weekly_ch_small_party,AEC_WEEKLY_SMALL_PARTY_TITLE,AEC_WEEKLY_SMALL_PARTY_DESC,,AEC_MEDIUM,,3,AEC_UNIT_PARTY_MATCHES_WON,,,,,,,,,,,,
263,AEC_WEEKLY,weekly_ch_onevone_wins,AEC_WEEKLY_ONEVONE_WINS_TITLE,AEC_WEEKLY_ONEVONE_WINS_DESC,,AEC_HARD,,50,AEC_UNIT_ONE_V_ONES_WON,,,,,,,,,,,,
264,AEC_WEEKLY,weekly_ch_commend_prestige,AEC_WEEKLY_COMMEND_PRESTIGE_TITLE,AEC_WEEKLY_COMMEND_PRESTIGE_DESC,,AEC_EASY,,5,AEC_UNIT_PRESTIGE_COMMENDED,,,,,,,,,,,,
265,AEC_WEEKLY,weekly_ch_long_range_kills,AEC_WEEKLY_LONG_RANGE_KILLS_TITLE,AEC_WEEKLY_LONG_RANGE_KILLS_DESC,,AEC_EASY,,30,AEC_UNIT_LONG_RANGE_KILLS,,,WINTER,,,,,,,,,
266,AEC_WEEKLY,weekly_ch_explosive_kills,AEC_WEEKLY_EXPLOSIVE_KILLS_TITLE,AEC_WEEKLY_EXPLOSIVE_KILLS_DESC,,AEC_EASY,,200,AEC_UNIT_EXPLOSIVE_KILLS,,,,,,,,,,,,
267,AEC_WEEKLY,weekly_ch_zombie_rounds,AEC_WEEKLY_ZOMBIE_ROUNDS_TITLE,AEC_WEEKLY_ZOMBIE_ROUNDS_DESC,,AEC_MEDIUM,,20,AEC_UNIT_ZOMBIES_ROUNDS_SURVIVED,,,,,,,,,,,,
268,AEC_WEEKLY,weekly_ch_war_strategist,AEC_WEEKLY_WAR_STRATEGIST_TITLE,AEC_WEEKLY_WAR_STRATEGIST_DESC,,AEC_MEDIUM,,5,AEC_UNIT_WINS,,,WINTER,,,,,,,,,
269,AEC_DAILY,daily_ch_assists,AEC_DAILY_ASSISTS_TITLE,AEC_DAILY_ASSISTS_DESC,,AEC_EASY,,10,AEC_UNIT_ASSISTS,,,,,,,,,,,,
270,AEC_DAILY,daily_ch_first_blood,AEC_DAILY_FIRST_BLOOD_TITLE,AEC_DAILY_FIRST_BLOOD_DESC,,AEC_EASY,,5,AEC_UNIT_FIRST_BLOOD,,,,,,,,,,,,
271,AEC_DAILY,daily_ch_ctf_flags,AEC_DAILY_CTF_FLAGS_TITLE,AEC_DAILY_CTF_FLAGS_DESC,,AEC_EASY,,5,AEC_UNIT_CTF_FLAGS_CAPTURED,,,,,,,,,,,,
272,AEC_DAILY,daily_ch_dom_points,AEC_DAILY_DOM_POINTS_TITLE,AEC_DAILY_DOM_POINTS_DESC,,AEC_EASY,,10,AEC_UNIT_DOMINATION_POINTS_CAPTURED,,,,,,,,,,,,
273,AEC_DAILY,daily_ch_touchdowns,AEC_DAILY_TOUCHDOWNS_TITLE,AEC_DAILY_TOUCHDOWNS_DESC,,AEC_EASY,,5,AEC_UNIT_TOUCHDOWNS,,,,,,,,,,,,
274,AEC_DAILY,daily_ch_ctf_flag_recovers,AEC_DAILY_CTF_FLAG_RECOVERS_TITLE,AEC_DAILY_CTF_FLAG_RECOVERS_DESC,,AEC_EASY,,5,AEC_UNIT_FLAGS_RECOVERED,,,,,,,,,,,,
275,AEC_DAILY,daily_ch_ball_carriers,AEC_DAILY_BALL_CARRIERS_TITLE,AEC_DAILY_BALL_CARRIERS_DESC,,AEC_EASY,,5,AEC_UNIT_BALL_CARRIERS_KILLED,,,,,,,,,,,,
412,AEC_DAILY,daily_ch_ranked_ends,AEC_DAILY_RANKED_ENDS_TITLE,AEC_DAILY_RANKED_ENDS_DESC,,AEC_EASY,,10,AEC_UNIT_RANKED_MATCHES_COMPLETED,,,,,,,,,,,,
413,AEC_DAILY,daily_ch_ranked_wins,AEC_DAILY_RANKED_WINS_TITLE,AEC_DAILY_RANKED_WINS_DESC,,AEC_MEDIUM,,5,AEC_UNIT_RANKED_MATCHES_WON,,,,,,,,,,,,
414,AEC_DAILY,daily_ch_ranked_wins_in_row,AEC_DAILY_RANKED_WINS_IN_ROW_TITLE,AEC_DAILY_RANKED_WINS_IN_ROW_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
415,AEC_WEEKLY,weekly_ch_ranked_ends,AEC_WEEKLY_RANKED_ENDS_TITLE,AEC_WEEKLY_RANKED_ENDS_DESC,,AEC_EASY,,50,AEC_UNIT_RANKED_MATCHES_COMPLETED,,,,,,,,,,,,
416,AEC_WEEKLY,weekly_ch_ranked_wins,AEC_WEEKLY_RANKED_WINS_TITLE,AEC_WEEKLY_RANKED_WINS_DESC,,AEC_MEDIUM,,20,AEC_UNIT_RANKED_MATCHES_WON,,,,,,,,,,,,
417,AEC_WEEKLY,weekly_ch_ranked_wins_row_solo,AEC_WEEKLY_RANKED_WINS_ROW_SOLO_TITLE,AEC_DAILY_RANKED_WINS_ROW_SOLO_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
430,AEC_DAILY,daily_ch_war_kills_45,AEC_DAILY_WAR_KILLS_TITLE,AEC_DAILY_WAR_KILLS_DESC,,AEC_MEDIUM,,45,AEC_UNIT_WAR_KILLS,,,,,,,,,,,,
431,AEC_WEEKLY,weekly_ch_objective_wins,AEC_WEEKLY_OBJECTIVE_WINS_TITLE,AEC_WEEKLY_OBJECTIVE_WINS_DESC,,AEC_MEDIUM,,20,AEC_UNIT_OBJECTIVE_MATCHES_WON,,,,,,,,,,,,
432,AEC_WEEKLY,weekly_ch_multi_kill,AEC_WEEKLY_MULTI_KILL_TITLE,AEC_WEEKLY_MULTI_KILL_DESC,,AEC_MEDIUM,,20,AEC_UNIT_MULTIKILLS,,,,,,,,,,,,
433,AEC_SPECIAL,special_ch_early_adopter,AEC_SPECIAL_EARLY_ADOPTER_TITLE,AEC_SPECIAL_EARLY_ADOPTER_DESC,,AEC_MEDIUM,,?,AEC_UNIT_SPECIAL_EARLY_ADOPTER,,,,,,,,,,,,
441,AEC_DAILY,daily_ch_crouch_prone_kills,AEC_DAILY_CROUCH_PRONE_TITLE,AEC_DAILY_CROUCH_PRONE_DESC,,,,15,AEC_UNIT_KILLS,,,,,,,,,,,,
442,AEC_DAILY,daily_ch_anti_crouch_prone,AEC_DAILY_ANTI_CROUCH_PRONE_TITLE,AEC_DAILY_ANTI_CROUCH_PRONE_DESC,,,,10,AEC_UNIT_KILLS,,,,,,,,,,,,
443,AEC_DAILY,daily_ch_bullet_pen_kills,AEC_DAILY_BULLET_PEN_TITLE,AEC_DAILY_BULLET_PEN_DESC,,,,10,AEC_UNIT_KILLS,,,,,,,,,,,,
444,AEC_DAILY,daily_ch_stick_kills,AEC_DAILY_STUCK_KILLS_TITLE,CHALLENGE_HUMILIATION_STICKY_DESC,,,,5,AEC_UNIT_KILLS,,,,,,,,,,,,
445,AEC_DAILY,daily_ch_backfire_kills,AEC_DAILY_BACKFIRE_KILLS_TITLE,CHALLENGE_HUMILIATION_BACKFIRE_DESC,,,,5,AEC_UNIT_KILLS,,,,,,,,,,,,
446,AEC_DAILY,daily_ch_payback_kills,AEC_DAILY_PAYBACK_KILLS_TITLE,CHALLENGE_HUMILIATION_UNFORGIVING_DESC,,,,15,AEC_UNIT_KILLS,,,,,,,,,,,,
447,AEC_DAILY,daily_ch_kingslayer_kills,AEC_DAILY_KINGSLAYER_TITLE,CHALLENGE_HUMILIATION_HIGHVALUE_DESC,,,,5,AEC_UNIT_KILLS,,,,,,,,,,,,
448,AEC_DAILY,daily_ch_longshot_medals,AEC_DAILY_LONGSHOT_TITLE,AEC_DAILY_LONGSHOT_DESC,,,,10,AEC_UNIT_KILLS,,,,,,,,,,,,
449,AEC_DAILY,daily_ch_throwback_kills,AEC_DAILY_THROWBACK_KILLS_TITLE,CHALLENGE_PRECISION_RETURNTOSENDER_DESC,,,,5,AEC_UNIT_KILLS,,,,,,,,,,,,
450,AEC_DAILY,daily_ch_no_rifle_infantry,AEC_DAILY_NO_RIFLE_INFANTRY_TITLE,AEC_DAILY_NO_RIFLE_INFANTRY_DESC,,,,25,AEC_UNIT_KILLS,,,,,,,,,,,,
451,AEC_DAILY,daily_ch_no_smg_airborne,AEC_DAILY_NO_SMG_AIRBORNE_TITLE,AEC_DAILY_NO_SMG_AIRBORNE_DESC,,,,25,AEC_UNIT_KILLS,,,,,,,,,,,,
452,AEC_DAILY,daily_ch_no_lmg_armored,AEC_DAILY_NO_LMG_ARMORED_TITLE,AEC_DAILY_NO_LMG_ARMORED_DESC,,,,25,AEC_UNIT_KILLS,,,,,,,,,,,,
453,AEC_DAILY,daily_ch_no_sniper_mountain,AEC_DAILY_NO_SNIPER_MOUNTAIN_TITLE,AEC_DAILY_NO_SNIPER_MOUNTAIN_DESC,,,,25,AEC_UNIT_KILLS,,,,,,,,,,,,
454,AEC_DAILY,daily_ch_no_shotgun_expeditionary,AEC_DAILY_NO_SHOTGUN_EXPEDITIONARY_TITLE,AEC_DAILY_NO_SHOTGUN_EXPEDITIONARY_DESC,,,,25,AEC_UNIT_KILLS,,,,,,,,,,,,
455,AEC_DAILY,daily_ch_gun_game_wins,AEC_DAILY_GUN_GAME_WINS_TITLE,AEC_DAILY_GUN_GAME_WINS_DESC,,,,3,AEC_UNIT_WINS,,,WINTER,,,,,,,,,
456,AEC_DAILY,daily_ch_supply_drop_group,AEC_DAILY_SUPPLY_DROP_15_TITLE,AEC_DAILY_SUPPLY_DROP_15_DESC,,,,1,,,,,,,,,,,,,
457,AEC_WEEKLY,weekly_ch_winter_infantry_kills,AEC_WEEKLY_WINTER_INFANTRY_KILLS_TITLE,AEC_WEEKLY_WINTER_INFANTRY_KILLS_DESC,,,,150,AEC_UNIT_KILLS,,,WINTER,,,,,,,,,
458,AEC_WEEKLY,weekly_ch_winter_airborne_kills,AEC_WEEKLY_WINTER_AIRBORNE_KILLS_TITLE,AEC_WEEKLY_WINTER_AIRBORNE_KILLS_DESC,,,,150,AEC_UNIT_KILLS,,,WINTER,,,,,,,,,
459,AEC_WEEKLY,weekly_ch_winter_armored_kills,AEC_WEEKLY_WINTER_ARMORED_KILLS_TITLE,AEC_WEEKLY_WINTER_ARMORED_KILLS_DESC,,,,150,AEC_UNIT_KILLS,,,WINTER,,,,,,,,,
460,AEC_WEEKLY,weekly_ch_winter_mountain_kills,AEC_WEEKLY_WINTER_MOUNTAIN_KILLS_TITLE,AEC_WEEKLY_WINTER_MOUNTAIN_KILLS_DESC,,,,150,AEC_UNIT_KILLS,,,WINTER,,,,,,,,,
461,AEC_WEEKLY,weekly_ch_winter_expeditionary_kills,AEC_WEEKLY_WINTER_EXPEDITIONARY_KILLS_TITLE,AEC_WEEKLY_WINTER_EXPEDITIONARY_KILLS_DESC,,,,150,AEC_UNIT_KILLS,,,WINTER,,,,,,,,,
462,AEC_WEEKLY,weekly_ch_winter_fire_kills,AEC_WEEKLY_WINTER_FIRE_KILLS_TITLE,AEC_WEEKLY_WINTER_FIRE_KILLS_DESC,,,,50,AEC_UNIT_FIRE_KILLS,,,WINTER,,,,,,,,,
463,AEC_DAILY,daily_ch_streak_training,AEC_DAILY_STREAK_TRAINING_TITLE,AEC_DAILY_STREAK_TRAINING_DESC,,,,10,AEC_UNIT_SCORESTREAKS_ACTIVATED,,,,,,,,,,,,
464,AEC_WEEKLY,weekly_ch_dom_kills,AEC_WEEKLY_DOM_KILLS_TITLE,AEC_WEEKLY_DOM_KILLS_DESC,,,,100,AEC_UNIT_KILLS,,,,,,,,,,,,
465,AEC_WEEKLY,weekly_ch_hp_kills,AEC_WEEKLY_HP_KILLER_TITLE,AEC_WEEKLY_HP_KILLER_DESC,,,,150,AEC_UNIT_KILLS,,,,,,,,,,,,
466,AEC_DAILY,daily_ch_gun_game_multikill,AEC_DAILY_GUN_GAME_MULTIKILL_TITLE,AEC_DAILY_GUN_GAME_MULTIKILL_DESC,,,,1,,,,WINTER,,,,,,,,,
467,AEC_CONTRACT,contract_ch_winter_bribe,AEC_CONTRACT_WINTER_BRIBE_TITLE,AEC_SPECIAL_WEAPON_DESC,,,,40,AEC_UNIT_MATCHES_COMPLETED,28800,0x5000048,WINTER,LOOT_MTX1_SUPPLY_DROP_WINTER_BRIBE,,,,,,,,
468,AEC_CONTRACT,contract_70_kills_gungame,AEC_CONTRACT_WINTER_GUN_GAME_KILLS_TITLE,AEC_CONTRACT_WINTER_GUN_GAME_KILLS_DESC,,,,70,AEC_UNIT_KILLS,3600,0x5000049,WINTER,,,,,,,,,
469,AEC_CONTRACT,contract_ch_winter_triple_play,AEC_CONTRACT_WINTER_BRIBE_TITLE,AEC_SPECIAL_WEAPON_DESC,,,,30,AEC_UNIT_MATCHES_COMPLETED,28800,0x500004a,WINTER,LOOT_MTX1_SUPPLY_DROP_WINTER_BRIBE_2X,,,,,,,,
470,AEC_CONTRACT,contract_ch_winter_frontlines,AEC_CONTRACT_WINTER_FRONTLINES_TITLE,AEC_SPECIAL_WEAPON_DESC,,,,250,AEC_UNIT_MATCHES_COMPLETED,298800,0x500004b,WINTER,LUA_MENU_MTX1_PACK_FRONT,,,,,,,,
471,AEC_CONTRACT,contract_65_kills_kc,AEC_CONTRACT_KC_KILLS_TITLE,AEC_CONTRACT_KC_KILLS_DESC,,,,65,AEC_UNIT_KILLS,3600,0x500004c,WINTER,,,,,,,,,
472,AEC_DAILY,daily_ch_play_hardcore,AEC_DAILY_PLAY_HARDCORE_TITLE,AEC_DAILY_PLAY_HARDCORE_DESC,,,,1,,,,WINTER,,,,,,,,,
473,AEC_DAILY,daily_ch_play_ctf,AEC_DAILY_PLAY_CTF_TITLE,AEC_DAILY_PLAY_CTF_DESC,,,,1,,,,WINTER,,,,,,,,,
474,AEC_DAILY,daily_ch_play_gridiron,AEC_DAILY_PLAY_GRIDIRON_TITLE,AEC_DAILY_PLAY_GRIDIRON_DESC,,,,1,,,,WINTER,,,,,,,,,
475,AEC_DAILY,daily_ch_play_kc,AEC_DAILY_PLAY_KC_TITLE,AEC_DAILY_PLAY_KC_DESC,,,,1,,,,WINTER,,,,,,,,,
476,AEC_DAILY,daily_ch_play_sd,AEC_DAILY_PLAY_SD_TITLE,AEC_DAILY_PLAY_SD_DESC,,,,1,,,,WINTER,,,,,,,,,
477,AEC_DAILY,daily_ch_play_ffa,AEC_DAILY_PLAY_FFA_TITLE,AEC_DAILY_PLAY_FFA_DESC,,,,1,,,,WINTER,,,,,,,,,
478,AEC_SPECIAL,special_ch_sten,AEC_SPECIAL_SMG_TITLE,AEC_SPECIAL_WEAPON_DESC,,,,50,AEC_UNIT_MATCHES_COMPLETED,,,,,,,,,,,,
479,AEC_SPECIAL,special_ch_gewehr43,AEC_SPECIAL_RIFLE_TITLE,AEC_SPECIAL_WEAPON_DESC,,,,50,AEC_UNIT_MATCHES_COMPLETED,,,,,,,,,,,,
480,AEC_SPECIAL,special_ch_gpmg,AEC_SPECIAL_LMG_TITLE,AEC_SPECIAL_WEAPON_DESC,,,,50,AEC_UNIT_MATCHES_COMPLETED,,,,,,,,,,,,
481,AEC_SPECIAL,special_ch_icepick,AEC_SPECIAL_ICEPICK_TITLE,AEC_SPECIAL_WEAPON_DESC,,,,35,AEC_UNIT_MATCHES_COMPLETED,,,,,,,,,,,,
482,AEC_SPECIAL,special_ch_trenchknife,AEC_SPECIAL_KNIFE_TITLE,AEC_SPECIAL_WEAPON_DESC,,,,35,AEC_UNIT_MATCHES_COMPLETED,,,,,,,,,,,,
483,AEC_CONTRACT,contract_ch_epic_drop,AEC_CONTRACT_EPIC_DROP,AEC_SPECIAL_WEAPON_DESC,,,,40,AEC_UNIT_MATCHES_COMPLETED,28800,0x500004d,,LUA_MENU_SUPPLY_DROP_EPIC,,,,,,,,
484,AEC_DAILY,daily_ch_winter_bribe_2x,LOOT_MTX1_SUPPLY_DROP_WINTER_BRIBE_2X,AEC_SPECIAL_WEAPON_DESC,,,,30,AEC_UNIT_MATCHES_COMPLETED,,,WINTER,LOOT_MTX1_SUPPLY_DROP_WINTER_BRIBE_2X,,,,,,,,
485,AEC_DAILY,daily_ch_demo_wins_dlc1,AEC_DAILY_DEMO_WINS_TITLE,AEC_DAILY_DEMO_WINS_DESC,,,,5,AEC_UNIT_WINS,,,RESISTANCE,,,,,,,,,
