a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,
136,unique,WEAPON_EXTENDED_MAG,extended_mag_bar,extended_mag_bar,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
137,unique,WEAPON_EXTENDED_MAG,extended_mag_beretta,extended_mag_beretta,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
138,unique,WEAPON_EXTENDED_MAG,extended_mag_bren,extended_mag_bren,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
139,unique,WEAPON_EXTENDED_MAG,extended_mag_enfield,extended_mag_enfield,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
140,unique,WEAPON_EXTENDED_MAG,extended_mag_fg42,extended_mag_fg42,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
141,unique,WEAPON_EXTENDED_MAG,extended_mag_g43,extended_mag_g43,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
142,unique,WEAPON_EXTENDED_MAG,extended_mag_greasegun,extended_mag_greasegun,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
143,unique,WEAPON_EXTENDED_MAG,extended_mag_kar98k,extended_mag_kar98k,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
144,unique,WEAPON_EXTENDED_MAG,extended_mag_kbsp1938,extended_mag_kbsp1938,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
146,unique,WEAPON_EXTENDED_MAG,extended_mag_lewis,extended_mag_lewis,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
147,unique,WEAPON_EXTENDED_MAG,extended_mag_luger,extended_mag_luger,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
148,unique,WEAPON_EXTENDED_MAG,extended_mag_m1911,extended_mag_m1911,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
149,unique,WEAPON_EXTENDED_MAG,extended_mag_m1919,extended_mag_m1919,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
150,unique,WEAPON_EXTENDED_MAG,extended_mag_m1941,extended_mag_m1941,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
151,unique,WEAPON_EXTENDED_MAG,extended_mag_m1a1,extended_mag_m1a1,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
152,unique,WEAPON_EXTENDED_MAG,extended_mag_m1garand,extended_mag_m1garand,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
153,unique,WEAPON_EXTENDED_MAG,extended_mag_m712,extended_mag_m712,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
154,unique,WEAPON_EXTENDED_MAG,extended_mag_mg15,extended_mag_mg15,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
155,unique,WEAPON_EXTENDED_MAG,extended_mag_mg42,extended_mag_mg42,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,recruit|regular|hardened|veteran,,,
156,unique,WEAPON_EXTENDED_MAG,extended_mag_mg42_zm,extended_mag_mg42,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
158,unique,WEAPON_EXTENDED_MAG,extended_mag_mp28,extended_mag_mp28,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
159,unique,WEAPON_EXTENDED_MAG,extended_mag_mp40,extended_mag_mp40,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
160,unique,WEAPON_EXTENDED_MAG,extended_mag_ppsh41,extended_mag_ppsh41,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
161,unique,WEAPON_EXTENDED_MAG,extended_mag_springfield,extended_mag_springfield,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
162,unique,WEAPON_EXTENDED_MAG,extended_mag_sten,extended_mag_sten,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
163,unique,WEAPON_EXTENDED_MAG,extended_mag_stg44,extended_mag_stg44,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
164,unique,WEAPON_EXTENDED_MAG,extended_mag_svt40,extended_mag_svt40,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
165,unique,WEAPON_EXTENDED_MAG,extended_mag_thompson,extended_mag_thompson,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
166,unique,WEAPON_EXTENDED_MAG,extended_mag_type100,extended_mag_type100,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
169,unique,WEAPON_EXTENDED_MAG,extended_mag_type99,extended_mag_type99,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
170,unique,WEAPON_EXTENDED_MAG,extended_mag_volk,extended_mag_volk,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
171,unique,WEAPON_EXTENDED_RANGE,extended_range,extended_range,weapon_attachment_barrel_long,WEAPON_EXTENDED_RANGE_DESC,,,0,0,3,0,0,0,veteran,,,
172,unique,WEAPON_EXTENDED_RANGE,extended_range_rifle,extended_range_rifle,weapon_attachment_barrel_long,WEAPON_EXTENDED_RANGE_DESC,,,0,0,3,0,0,0,veteran,,,
173,unique,WEAPON_EXTENDED_RANGE,extended_range_shotgun,extended_range_shotgun,weapon_attachment_barrel_long,WEAPON_EXTENDED_RANGE_DESC,,,0,0,3,0,0,0,hardened|veteran,,,
174,unique,WEAPON_EXTENDED_RANGE,extended_range_smg,extended_range_smg,weapon_attachment_barrel_long,WEAPON_EXTENDED_RANGE_DESC,,,0,0,3,0,0,0,veteran,,,
175,unique,WEAPON_FAST_ADS,fast_ads,fast_ads,weapon_attachment_barrel_short,WEAPON_FAST_ADS_DESC,,,0,0,0,0,0,3,recruit|regular|hardened|veteran,,,
176,unique,WEAPON_FAST_ADS,fast_ads_lmg,fast_ads_lmg,weapon_attachment_barrel_short,WEAPON_FAST_ADS_DESC,,,0,0,0,0,0,3,recruit|regular|hardened|veteran,,,
177,unique,WEAPON_FAST_ADS,fast_ads_smg,fast_ads_smg,weapon_attachment_barrel_short,WEAPON_FAST_ADS_DESC,,,0,0,0,0,0,3,recruit|regular|hardened|veteran,,,
178,unique,WEAPON_MTX9_FAST_BOLT,fast_bolt_dp28,fast_bolt_dp28,weapon_attachment_fast_bolt,WEAPON_MTX9_FAST_BOLT_DESC,,,1,0,1,0,0,0,,,,
179,unique,WEAPON_MTX9_FAST_MAG,fast_mag_dp28,fast_mag_dp28,weapon_attachment_fast_reload,WEAPON_MTX9_FAST_MAG_DESC,,,0,0,0,0,0,0,,,,
180,unique,WEAPON_FMJ,fmj,fmj,weapon_attachment_full_metal_jacket,WEAPON_FMJ_DESC,,,0,3,0,0,0,0,recruit|regular|hardened|veteran,,,
181,unique,WEAPON_GRENADE_LAUNCHER,grenade_launcher,grenade_launcher,weapon_attachment_rifle_grenade,WEAPON_OVERHAUL_GRENADE_LAUNCHER_DESC,,,0,0,0,0,0,0,,,,
182,unique,WEAPON_GRENADE_LAUNCHER,grenade_launcher_allies,grenade_launcher,weapon_attachment_rifle_grenade,WEAPON_OVERHAUL_GRENADE_LAUNCHER_DESC,,,0,0,0,0,0,0,,,,
183,unique,WEAPON_GRENADE_LAUNCHER,grenade_launcher_axis,grenade_launcher,weapon_attachment_rifle_grenade,WEAPON_OVERHAUL_GRENADE_LAUNCHER_DESC,,,0,0,0,0,0,0,,,,
184,unique,WEAPON_GRENADE_LAUNCHER,grenade_launcher_m1garand,grenade_launcher_m1garand,weapon_attachment_rifle_grenade,WEAPON_OVERHAUL_GRENADE_LAUNCHER_DESC,,,0,0,0,0,0,0,,,,
185,unique,WEAPON_GRIP,grip,grip,weapon_attachment_rec_smooth,WEAPON_GRIP_DESC,,,3,0,0,0,0,0,recruit|regular|hardened|veteran,,,
186,unique,WEAPON_HEAD_DAMAGE,head_damage,head_damage,weapon_attachment_high_caliber,WEAPON_HEAD_DAMAGE_DESC,,,0,3,0,0,0,0,regular|hardened|veteran,,,
187,unique,WEAPON_HEAD_DAMAGE,head_damage_zm,head_damage_zm,weapon_attachment_high_caliber,WEAPON_HEAD_DAMAGE_DESC,,,0,3,0,0,0,0,,,,
188,unique,WEAPON_HIPFIRE,hipfire,hipfire,weapon_attachment_steady_aim,WEAPON_HIPFIRE_DESC,,,3,0,0,0,0,0,regular|hardened|veteran,,,
189,unique,WEAPON_HIPFIRE,hipfire_smg,hipfire_smg,weapon_attachment_steady_aim,WEAPON_HIPFIRE_DESC,,,3,0,0,0,0,0,hardened|veteran,,,
190,unique,WEAPON_HOLD_BREATH,hold_breath_3,hold_breath_3,weapon_missing_image,WEAPON_HOLD_BREATH_DESC,,,0,0,0,0,0,0,,,,
191,unique,WEAPON_RAPID_FIRE,rapid_fire,rapid_fire,weapon_attachment_rec_fast,WEAPON_RAPID_FIRE_DESC,,,0,0,0,3,0,0,veteran,,,
192,unique,WEAPON_RAPID_FIRE,rapid_fire_lmg,rapid_fire_lmg,weapon_attachment_rec_fast,WEAPON_RAPID_FIRE_DESC,,,0,0,0,3,0,0,veteran,,,
193,unique,WEAPON_RAPID_FIRE,rapid_fire_shotgun_rechamber,rapid_fire_shotgun_rechamber,weapon_attachment_rec_fast,WEAPON_RAPID_FIRE_DESC,,,0,0,0,3,0,0,veteran,,,
194,unique,WEAPON_RAPID_FIRE,rapid_fire_sniper,rapid_fire_sniper,weapon_attachment_rec_fast,WEAPON_RAPID_FIRE_DESC,,,0,0,0,3,0,0,veteran,,,
195,unique,WEAPON_RAPID_FIRE,rapid_fire_sniper_fastbolt,rapid_fire_sniper_fastbolt,weapon_attachment_rec_fast,WEAPON_RAPID_FIRE_DESC,,,0,0,0,3,0,0,veteran,,,
196,unique,WEAPON_REDUCED_SWAY,reduced_sway,reduced_sway,weapon_attachment_ballistic_calibration,WEAPON_REDUCED_SWAY_DESC,,,3,0,0,0,0,0,regular|hardened|veteran,,,
197,unique,DIVISIONS_DLC3_SHIELD_CHARGE,shield_charge,shield_charge,riotshield,,,,0,0,0,0,0,0,,,,
198,unique,WEAPON_SUPPRESSOR,suppressor,suppressor,weapon_attachment_suppressor_pistol,WEAPON_SUPPRESSOR_DESC,,,0,-3,0,0,0,0,,,,
199,unique,WEAPON_SUPPRESSOR,suppressor_allies,suppressor_allies,weapon_attachment_suppressor_pistol,WEAPON_SUPPRESSOR_DESC,,,0,-3,0,0,0,0,,,,
200,unique,WEAPON_SUPPRESSOR,suppressor_axis,suppressor_axis,weapon_attachment_suppressor_pistol,WEAPON_SUPPRESSOR_DESC,,,0,-3,0,0,0,0,,,,
201,unique,WEAPON_OVERHAUL_SMG_SUPPRESSOR,suppressor_greasegun_3,suppressor_greasegun_3,weapon_attachment_suppressor_smg,WEAPON_OVERHAUL_SMG_SUPPRESSOR_DESC,,,0,-3,0,0,0,0,,,,
202,unique,WEAPON_OVERHAUL_SMG_SUPPRESSOR,suppressor_smg,suppressor,division_skill_airborne_level3,WEAPON_OVERHAUL_SMG_SUPPRESSOR_DESC,,,0,-3,0,0,0,0,,,,
203,unique,WEAPON_OVERHAUL_SMG_SUPPRESSOR,suppressor_smg_allies_3,suppressor_smg_allies_3,weapon_attachment_suppressor_smg,WEAPON_OVERHAUL_SMG_SUPPRESSOR_DESC,,,0,-3,0,0,0,0,,,,
204,unique,WEAPON_OVERHAUL_SMG_SUPPRESSOR,suppressor_smg_axis_3,suppressor_smg_axis_3,weapon_attachment_suppressor_smg,WEAPON_OVERHAUL_SMG_SUPPRESSOR_DESC,,,0,-3,0,0,0,0,,,,
205,unique,WEAPON_OVERHAUL_SMG_SUPPRESSOR,suppressor_zk383,suppressor_smg_allies,weapon_attachment_suppressor_smg,WEAPON_MTX6_ZKSUPPRESSOR_DESC,,,0,-3,0,0,0,0,,,,
206,unique,WEAPON_OVERHAUL_TACTICAL_KNIFE,tactical_knife,tactical_knife,weapon_attachment_tactical_knife,WEAPON_OVERHAUL_TACTICAL_KNIFE_DESC,,,0,0,0,0,0,0,,,,
207,unique,WEAPON_MTX9_TRIBOLT,tribolt_dp28,tribolt_dp28,weapon_attachment_tri_bolt,WEAPON_MTX9_TRIBOLT_DESC,,,1,1,0,0,0,0,,,,
208,none,MPUI_DONE_SELECTING,done,done,weapon_missing_image,MPUI_DESC_DONE_SELECTING,FALSE,,0,0,0,0,0,0,,,,
