a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,
130,mstr,5840950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5899400,,,,,,131,131,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
131,mstr,5899400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5957850,,,,,,132,132,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
132,mstr,5957850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6016300,,,,,,133,133,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
133,mstr,6016300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6074750,,,,,,134,134,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
134,mstr,6074750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6133200,,,,,,135,135,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
135,mstr,6133200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6191650,,,,,,136,136,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
136,mstr,6191650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6250100,,,,,,137,137,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
137,mstr,6250100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6308550,,,,,,138,138,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
138,mstr,6308550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6367000,,,,,,139,139,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
139,mstr,6367000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6425450,,,,,,140,140,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
140,mstr,6425450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6483900,,,,,,141,141,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
141,mstr,6483900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6542350,,,,,,142,142,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
142,mstr,6542350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6600800,,,,,,143,143,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
143,mstr,6600800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6659250,,,,,,144,144,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
144,mstr,6659250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6717700,,,,,,145,145,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
145,mstr,6717700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6776150,,,,,,146,146,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
146,mstr,6776150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6834600,,,,,,147,147,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
147,mstr,6834600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6893050,,,,,,148,148,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
148,mstr,6893050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6951500,,,,,,149,149,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
149,mstr,6951500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7009950,,,,,,150,150,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
150,mstr,7009950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7068400,,,,,,151,151,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
151,mstr,7068400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7126850,,,,,,152,152,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
152,mstr,7126850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7185300,,,,,,153,153,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
153,mstr,7185300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7243750,,,,,,154,154,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
154,mstr,7243750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7302200,,,,,,155,155,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
155,mstr,7302200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7360650,,,,,,156,156,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
156,mstr,7360650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7419100,,,,,,157,157,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
157,mstr,7419100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7477550,,,,,,158,158,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
158,mstr,7477550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7536000,,,,,,159,159,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
159,mstr,7536000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7594450,,,,,,160,160,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
160,mstr,7594450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7652900,,,,,,161,161,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
161,mstr,7652900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7711350,,,,,,162,162,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
162,mstr,7711350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7769800,,,,,,163,163,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
163,mstr,7769800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7828250,,,,,,164,164,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
164,mstr,7828250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7886700,,,,,,165,165,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
165,mstr,7886700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,7945150,,,,,,166,166,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
166,mstr,7945150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8003600,,,,,,167,167,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
167,mstr,8003600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8062050,,,,,,168,168,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
168,mstr,8062050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8120500,,,,,,169,169,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
169,mstr,8120500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8178950,,,,,,170,170,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
170,mstr,8178950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8237400,,,,,,171,171,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
171,mstr,8237400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8295850,,,,,,172,172,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
172,mstr,8295850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8354300,,,,,,173,173,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
173,mstr,8354300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8412750,,,,,,174,174,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
174,mstr,8412750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8471200,,,,,,175,175,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
175,mstr,8471200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8529650,,,,,,176,176,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
176,mstr,8529650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8588100,,,,,,177,177,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
177,mstr,8588100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8646550,,,,,,178,178,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
178,mstr,8646550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8705000,,,,,,179,179,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
179,mstr,8705000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8763450,,,,,,180,180,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
180,mstr,8763450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8821900,,,,,,181,181,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
181,mstr,8821900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8880350,,,,,,182,182,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
182,mstr,8880350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8938800,,,,,,183,183,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
183,mstr,8938800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,8997250,,,,,,184,184,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
184,mstr,8997250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9055700,,,,,,185,185,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
185,mstr,9055700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9114150,,,,,,186,186,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
186,mstr,9114150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9172600,,,,,,187,187,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
187,mstr,9172600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9231050,,,,,,188,188,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
188,mstr,9231050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9289500,,,,,,189,189,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
189,mstr,9289500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9347950,,,,,,190,190,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
190,mstr,9347950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9406400,,,,,,191,191,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
191,mstr,9406400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9464850,,,,,,192,192,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
192,mstr,9464850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9523300,,,,,,193,193,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
193,mstr,9523300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9581750,,,,,,194,194,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
194,mstr,9581750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9640200,,,,,,195,195,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
195,mstr,9640200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9698650,,,,,,196,196,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
196,mstr,9698650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9757100,,,,,,197,197,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
197,mstr,9757100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9815550,,,,,,198,198,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
198,mstr,9815550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9874000,,,,,,199,199,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
199,mstr,9874000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9932450,,,,,,200,200,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
200,mstr,9932450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,9990900,,,,,,201,201,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
201,mstr,9990900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10049350,,,,,,202,202,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
202,mstr,10049350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10107800,,,,,,203,203,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
203,mstr,10107800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10166250,,,,,,204,204,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
204,mstr,10166250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10224700,,,,,,205,205,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
205,mstr,10224700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10283150,,,,,,206,206,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
206,mstr,10283150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10341600,,,,,,207,207,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
207,mstr,10341600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10400050,,,,,,208,208,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
208,mstr,10400050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10458500,,,,,,209,209,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
209,mstr,10458500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10516950,,,,,,210,210,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
210,mstr,10516950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10575400,,,,,,211,211,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
211,mstr,10575400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10633850,,,,,,212,212,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
212,mstr,10633850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10692300,,,,,,213,213,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
213,mstr,10692300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10750750,,,,,,214,214,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
214,mstr,10750750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10809200,,,,,,215,215,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
215,mstr,10809200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10867650,,,,,,216,216,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
216,mstr,10867650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10926100,,,,,,217,217,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
217,mstr,10926100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,10984550,,,,,,218,218,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
218,mstr,10984550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11043000,,,,,,219,219,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
219,mstr,11043000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11101450,,,,,,220,220,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
220,mstr,11101450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11159900,,,,,,221,221,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
221,mstr,11159900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11218350,,,,,,222,222,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
222,mstr,11218350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11276800,,,,,,223,223,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
223,mstr,11276800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11335250,,,,,,224,224,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
224,mstr,11335250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11393700,,,,,,225,225,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
225,mstr,11393700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11452150,,,,,,226,226,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
226,mstr,11452150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11510600,,,,,,227,227,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
227,mstr,11510600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11569050,,,,,,228,228,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
228,mstr,11569050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11627500,,,,,,229,229,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
229,mstr,11627500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11685950,,,,,,230,230,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
230,mstr,11685950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11744400,,,,,,231,231,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
231,mstr,11744400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11802850,,,,,,232,232,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
232,mstr,11802850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11861300,,,,,,233,233,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
233,mstr,11861300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11919750,,,,,,234,234,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
234,mstr,11919750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,11978200,,,,,,235,235,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
235,mstr,11978200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12036650,,,,,,236,236,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
236,mstr,12036650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12095100,,,,,,237,237,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
237,mstr,12095100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12153550,,,,,,238,238,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
238,mstr,12153550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12212000,,,,,,239,239,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
239,mstr,12212000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12270450,,,,,,240,240,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
240,mstr,12270450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12328900,,,,,,241,241,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
241,mstr,12328900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12387350,,,,,,242,242,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
242,mstr,12387350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12445800,,,,,,243,243,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
243,mstr,12445800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12504250,,,,,,244,244,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
244,mstr,12504250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12562700,,,,,,245,245,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
245,mstr,12562700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12621150,,,,,,246,246,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
246,mstr,12621150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12679600,,,,,,247,247,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
247,mstr,12679600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12738050,,,,,,248,248,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
248,mstr,12738050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12796500,,,,,,249,249,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
249,mstr,12796500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12854950,,,,,,250,250,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
250,mstr,12854950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12913400,,,,,,251,251,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
251,mstr,12913400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,12971850,,,,,,252,252,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
252,mstr,12971850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13030300,,,,,,253,253,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
253,mstr,13030300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13088750,,,,,,254,254,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
254,mstr,13088750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13147200,,,,,,255,255,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
255,mstr,13147200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13205650,,,,,,256,256,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
